Question,Iteration,Question Type,Answer Precision,Answer Recall,Answer F1,Exact Answer,Explanation Precision,Explanation Recall,Explanation F1,Exact Explanation
Which customers (c_name) have placed orders on 1995-12-24 with an order priority of '3-MEDIUM'?,1,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders on 1995-12-24 with an order priority of '3-MEDIUM'?,2,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders on 1995-12-24 with an order priority of '3-MEDIUM'?,3,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders on 1995-12-24 with an order priority of '3-MEDIUM'?,4,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders on 1995-12-24 with an order priority of '3-MEDIUM'?,5,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders on 1997-12-31 with an order priority of '4-NOT SPECIFIED'?,1,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders on 1997-12-31 with an order priority of '4-NOT SPECIFIED'?,2,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders on 1997-12-31 with an order priority of '4-NOT SPECIFIED'?,3,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders on 1997-12-31 with an order priority of '4-NOT SPECIFIED'?,4,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders on 1997-12-31 with an order priority of '4-NOT SPECIFIED'?,5,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which parts (p_name) have a retail price lower than 902?,1,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which parts (p_name) have a retail price lower than 902?,2,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which parts (p_name) have a retail price lower than 902?,3,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which parts (p_name) have a retail price lower than 902?,4,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which parts (p_name) have a retail price lower than 902?,5,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which nations (n_name) have a region key of 1?,1,single table multiple rows,1.0000,0.4000,0.5714,0,0.0000,0.0000,0.0000,0
Which nations (n_name) have a region key of 1?,2,single table multiple rows,1.0000,0.4000,0.5714,0,1.0000,0.4000,0.5714,0
Which nations (n_name) have a region key of 1?,3,single table multiple rows,1.0000,0.4000,0.5714,0,1.0000,0.4000,0.5714,0
Which nations (n_name) have a region key of 1?,4,single table multiple rows,1.0000,0.2000,0.3333,0,0.0000,0.0000,0.0000,0
Which nations (n_name) have a region key of 1?,5,single table multiple rows,1.0000,0.4000,0.5714,0,1.0000,0.4000,0.5714,0
Which nations (n_name) have a region key of 2?,1,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which nations (n_name) have a region key of 2?,2,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which nations (n_name) have a region key of 2?,3,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which nations (n_name) have a region key of 2?,4,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which nations (n_name) have a region key of 2?,5,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which nations (n_name) have a region key of 0?,1,single table multiple rows,1.0000,0.2000,0.3333,0,1.0000,0.2000,0.3333,0
Which nations (n_name) have a region key of 0?,2,single table multiple rows,1.0000,0.4000,0.5714,0,1.0000,0.4000,0.5714,0
Which nations (n_name) have a region key of 0?,3,single table multiple rows,1.0000,0.2000,0.3333,0,0.0000,0.0000,0.0000,0
Which nations (n_name) have a region key of 0?,4,single table multiple rows,1.0000,0.2000,0.3333,0,0.0000,0.0000,0.0000,0
Which nations (n_name) have a region key of 0?,5,single table multiple rows,1.0000,0.2000,0.3333,0,0.0000,0.0000,0.0000,0
Which nations (n_name) have a region key of 3?,1,single table multiple rows,0.0000,0.0000,0.0000,0,1.0000,0.4000,0.5714,0
Which nations (n_name) have a region key of 3?,2,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which nations (n_name) have a region key of 3?,3,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which nations (n_name) have a region key of 3?,4,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which nations (n_name) have a region key of 3?,5,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) belong to the nation with nationkey = 2 and have a balance lower than 0?,1,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) belong to the nation with nationkey = 2 and have a balance lower than 0?,2,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) belong to the nation with nationkey = 2 and have a balance lower than 0?,3,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) belong to the nation with nationkey = 2 and have a balance lower than 0?,4,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) belong to the nation with nationkey = 2 and have a balance lower than 0?,5,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
